id,zip,location,city,population,people_per_sqmi,rank
117,11436,"40.675266, -73.796570","Jamaica,ÊNew York",18148,21578.65,#182
118,11420,"40.673525, -73.817771","South Ozone Park,ÊNew York",45498,21430.46,#184
119,10006,"40.707970, -74.013610","New York,ÊNew York",1447,21409.87,#185
120,11232,"40.655827, -74.006829","Brooklyn,ÊNew York",27723,20953.79,#194
121,11429,"40.709681, -73.738399","Queens Village,ÊNew York",27647,20794.49,#198
122,11367,"40.730621, -73.822860","Flushing,ÊNew York",38216,20384.04,#203
123,10069,"40.775551, -73.989689","New York,ÊNew York",1403,20318.57,#204
124,11239,"40.644728, -73.879186","Brooklyn,ÊNew York",14620,19900.74,#211
125,11434,"40.676808, -73.776425","Jamaica,ÊNew York",59142,19683.46,#217
126,11412,"40.696878, -73.760260","Saint Albans,ÊNew York",37452,19681.64,#218
127,11358,"40.760467, -73.796418","Flushing,ÊNew York",38647,19661.6,#219
128,11423,"40.717252, -73.768879","Hollis,ÊNew York",31240,19366.77,#223
129,10007,"40.713973, -74.008336","New York,ÊNew York",3522,19229.09,#228
130,10550,"40.905448, -73.835253","Mount Vernon,ÊNew York",38284,18973.4,#230
131,10470,"40.900965, -73.863998","Bronx,ÊNew York",15780,18653.9,#235
132,11366,"40.727929, -73.793074","Fresh Meadows,ÊNew York",13366,18341.01,#239
133,11433,"40.698135, -73.787009","Jamaica,ÊNew York",28435,18129.86,#242
134,11411,"40.694307, -73.735948","Cambria Heights,ÊNew York",21282,17687.64,#254
135,11365,"40.738856, -73.792528","Fresh Meadows,ÊNew York",41566,17380.05,#263
136,10705,"40.919705, -73.889928","Yonkers,ÊNew York",38115,17061.9,#272
137,11427,"40.729722, -73.749800","Queens Village,ÊNew York",23014,15531.36,#316
138,11379,"40.715488, -73.879490","Middle Village,ÊNew York",28984,15242.36,#324
139,11361,"40.764370, -73.771869","Bayside,ÊNew York",29206,15180.72,#326
140,11692,"40.593163, -73.793803","Arverne,ÊNew York",15893,15061.65,#332
141,10701,"40.945250, -73.881145","Yonkers,ÊNew York",63715,15054.57,#333
142,10553,"40.908502, -73.821554","Mount Vernon,ÊNew York",10102,14898.05,#336
143,11004,"40.745809, -73.711240","Glen Oaks,ÊNew York",14682,14388.66,#354
144,10018,"40.754969, -73.992126","New York,ÊNew York",4255,14250.83,#362
145,10308,"40.551236, -74.150961","Staten Island,ÊNew York",26451,14230.06,#364
146,11357,"40.786415, -73.810924","Whitestone,ÊNew York",39491,14136.1,#369
147,11550,"40.702731, -73.623226","Hempstead,ÊNew York",59022,13976.06,#376
148,10703,"40.957236, -73.881126","Yonkers,ÊNew York",20410,13884.55,#380
149,10302,"40.630820, -74.137841","Staten Island,ÊNew York",16406,13875.4,#382
150,11378,"40.724744, -73.909639","Maspeth,ÊNew York",34053,13268.8,#392
151,11356,"40.784810, -73.841165","College Point,ÊNew York",20444,13186.78,#396
152,11691,"40.600774, -73.757824","Far Rockaway,ÊNew York",56184,13164.72,#397
153,11413,"40.669293, -73.750553","Springfield Gardens,ÊNew York",39827,13046.46,#402
154,10310,"40.632516, -74.116461","Staten Island,ÊNew York",22852,12829.03,#413
155,11694,"40.576906, -73.846381","Rockaway Park,ÊNew York",19278,12713.02,#418
156,14201,"42.896227, -78.886477","Buffalo,ÊNew York",13609,12470.26,#428
157,11364,"40.745620, -73.757537","Oakland Gardens,ÊNew York",34539,12340.99,#439
158,11414,"40.658217, -73.844820","Howard Beach,ÊNew York",28121,12292.73,#444
159,11360,"40.782352, -73.780749","Bayside,ÊNew York",19350,12040.46,#456
160,11005,"40.756578, -73.714178","Floral Park,ÊNew York",2195,12029.65,#458
161,11003,"40.699176, -73.706166","Elmont,ÊNew York",40507,11863.18,#467
162,10005,"40.705390, -74.008988","New York,ÊNew York",884,11701.01,#474
163,14222,"42.919236, -78.877343","Buffalo,ÊNew York",14365,11664.08,#476
164,11426,"40.736619, -73.723610","Bellerose,ÊNew York",18727,11552.09,#478
165,10552,"40.924460, -73.826115","Mount Vernon,ÊNew York",19948,11540.74,#479
166,14213,"42.918183, -78.892479","Buffalo,ÊNew York",26080,11537.77,#480
167,12210,"42.657569, -73.757660","Albany,ÊNew York",9492,11492.07,#484
168,14208,"42.914225, -78.851150","Buffalo,ÊNew York",13207,11397.61,#491
169,10465,"40.826285, -73.822762","Bronx,ÊNew York",42500,11299.91,#497
170,10805,"40.897721, -73.779258","New Rochelle,ÊNew York",17957,10969.42,#526
171,11561,"40.589061, -73.651049","Long Beach,ÊNew York",39582,10930.38,#529
172,10304,"40.603589, -74.102477","Staten Island,ÊNew York",38972,10617.85,#551
173,10704,"40.919729, -73.862651","Yonkers,ÊNew York",29158,10377.31,#569
174,10801,"40.917570, -73.784858","New Rochelle,ÊNew York",36322,10374.42,#571
175,14619,"43.136082, -77.648985","Rochester,ÊNew York",14754,10354.31,#573
176,10301,"40.627456, -74.094407","Staten Island,ÊNew York",38805,10327.23,#576
177,10606,"41.020949, -73.775986","White Plains,ÊNew York",15733,10282.38,#581
178,14621,"43.186402, -77.601255","Rochester,ÊNew York",35977,9959.16,#598
179,11563,"40.657306, -73.674147","Lynbrook,ÊNew York",23231,9882.81,#605
180,11010,"40.700778, -73.675686","Franklin Square,ÊNew York",24778,9804.45,#613
181,14215,"42.934353, -78.809741","Buffalo,ÊNew York",44484,9690.5,#624
182,11501,"40.746062, -73.639285","Mineola,ÊNew York",19111,9664.43,#629
183,11580,"40.674900, -73.702154","Valley Stream,ÊNew York",37759,9630.82,#633
184,14607,"43.150826, -77.586219","Rochester,ÊNew York",16297,9341.99,#656
185,12307,"42.806322, -73.934477","Schenectady,ÊNew York",6843,9169.28,#667
186,11001,"40.721416, -73.707982","Floral Park,ÊNew York",25511,9097.47,#674
187,11101,"40.746970, -73.937530","Long Island City,ÊNew York",25595,9029.74,#681
188,14613,"43.182283, -77.639548","Rochester,ÊNew York",15078,8980.03,#685
189,10305,"40.596691, -74.074866","Staten Island,ÊNew York",38450,8962.46,#686
190,13203,"43.061009, -76.134973","Syracuse,ÊNew York",15435,8881.07,#696
191,11234,"40.612540, -73.894255","Brooklyn,ÊNew York",86898,8846.37,#703
192,11575,"40.679763, -73.584023","Roosevelt,ÊNew York",15975,8803.39,#711
193,11520,"40.650851, -73.584575","Freeport,ÊNew York",44026,8753.04,#715
194,11362,"40.758401, -73.733420","Little Neck,ÊNew York",17502,8669.78,#726
195,14216,"42.949615, -78.861119","Buffalo,ÊNew York",23587,8644.17,#730
196,14217,"42.971854, -78.875512","Buffalo,ÊNew York",24692,8355.29,#771
197,11040,"40.744765, -73.680072","New Hyde Park,ÊNew York",39157,8296.1,#776
198,11553,"40.702638, -73.591283","Uniondale,ÊNew York",23452,8285.93,#779
199,11565,"40.675062, -73.671934","Malverne,ÊNew York",9140,8279.74,#780
200,14211,"42.907697, -78.821679","Buffalo,ÊNew York",29590,8224.15,#791
201,14212,"42.894746, -78.820451","Buffalo,ÊNew York",15364,8191.81,#798
202,14605,"43.168307, -77.601608","Rochester,ÊNew York",14418,8113.89,#809
203,10471,"40.898117, -73.900227","Bronx,ÊNew York",23413,8057.39,#819
204,11756,"40.724567, -73.516333","Levittown,ÊNew York",43952,7937.83,#846
205,10601,"41.029566, -73.759207","White Plains,ÊNew York",8991,7936.76,#847
206,11363,"40.772591, -73.746472","Little Neck,ÊNew York",6917,7917.29,#854
207,11021,"40.786114, -73.728183","Great Neck,ÊNew York",19623,7814.84,#872
208,10708,"40.937467, -73.833144","Bronxville,ÊNew York",22411,7710.3,#882
209,11510,"40.653614, -73.609056","Baldwin,ÊNew York",32346,7662.68,#889
210,11570,"40.665341, -73.638921","Rockville Centre,ÊNew York",27827,7626.62,#894
211,11518,"40.638346, -73.666295","East Rockaway,ÊNew York",11202,7625.48,#895
212,12206,"42.673376, -73.781497","Albany,ÊNew York",16291,7567.38,#906
213,10474,"40.810203, -73.884437","Bronx,ÊNew York",11354,7487.55,#926
214,14608,"43.154821, -77.623507","Rochester,ÊNew York",12362,7432.49,#936
215,10707,"40.959962, -73.822722","Tuckahoe,ÊNew York",9447,7431.76,#937
216,11581,"40.652229, -73.714706","Valley Stream,ÊNew York",20094,7367.49,#950
217,14220,"42.844910, -78.822083","Buffalo,ÊNew York",26550,7277.11,#967
218,11726,"40.678789, -73.395729","Copiague,ÊNew York",17737,7229.13,#977
219,11516,"40.627479, -73.727879","Cedarhurst,ÊNew York",7068,7227.73,#978
220,14209,"42.916573, -78.865781","Buffalo,ÊNew York",8547,7222.56,#979
221,11710,"40.675775, -73.535668","Bellmore,ÊNew York",34463,7180.97,#986
222,11507,"40.770879, -73.652364","Albertson,ÊNew York",7755,7120.71,"#1,001"
223,10306,"40.569755, -74.122141","Staten Island,ÊNew York",55698,7104.18,"#1,005"
224,10307,"40.506815, -74.241709","Staten Island,ÊNew York",11669,7091.02,"#1,009"
225,11762,"40.682635, -73.445756","Massapequa Park,ÊNew York",24471,7036.96,"#1,025"
226,10312,"40.547291, -74.179264","Staten Island,ÊNew York",58867,7013.96,"#1,031"
227,14214,"42.939793, -78.841077","Buffalo,ÊNew York",21860,6922.39,"#1,056"
228,11596,"40.760589, -73.640783","Williston Park,ÊNew York",10572,6902.69,"#1,059"
229,14223,"42.973496, -78.846382","Buffalo,ÊNew York",24094,6870.35,"#1,069"
230,11757,"40.689587, -73.373856","Lindenhurst,ÊNew York",46458,6788.98,"#1,088"
231,11590,"40.756284, -73.570247","Westbury,ÊNew York",42507,6740.76,"#1,096"
232,10314,"40.598825, -74.163336","Staten Island,ÊNew York",84821,6550.27,"#1,155"
233,14611,"43.147187, -77.646472","Rochester,ÊNew York",19774,6548.21,"#1,157"
234,11598,"40.631555, -73.711280","Woodmere,ÊNew York",13226,6448.78,"#1,187"
235,10573,"41.018087, -73.679179","Port Chester,ÊNew York",36300,6381.76,"#1,211"
236,12308,"42.820980, -73.919670","Schenectady,ÊNew York",13346,6271.39,"#1,236"
237,14620,"43.127295, -77.610027","Rochester,ÊNew York",28094,6222.2,"#1,250"
238,14609,"43.177093, -77.554873","Rochester,ÊNew York",43665,6050.66,"#1,292"
